cpd:C00001	H2O; Water
cpd:C16648	4-Ene-VPA; 4-En-valproic acid; 2-n-Propyl-4-pentenoic acid
cpd:C16649	4-OH-VPA; 4-Hydroxyvalproic acid; 2-n-Propyl-4-hydroxypentanoic acid
cpd:C16650	5-OH-VPA; 5-Hydroxyvalproic acid; 2-n-Propyl-5-hydroxypentanoic acid
cpd:C16651	3-OH-VPA; 3-Hydroxyvalproic acid; 2-n-Propyl-3-hydroxypentanoic acid
cpd:C16652	3-Keto-VPA; 3-Oxovalproic acid; 2-n-Propyl-3-oxopentanoic acid
cpd:C16653	2-Ene-VPA; 2-En-valproic acid; 2-n-Propyl-2-pentenoic acid
cpd:C16654	3-Ene-VPA; 3-En-valproic acid; 2-n-Propyl-3-pentenoic acid
cpd:C16655	4-Keto-VPA; 4-Oxovalproic acid; 2-n-Propyl-4-oxopentanoic acid
cpd:C16656	2,4-Diene-VPA; 2-Propyl-2,4-pentadienoic acid
cpd:C16657	2-PSA; 2-Propylsuccinic acid
cpd:C16658	2-PGA; 2-Propylglutaric acid
cpd:C16659	EDDP; 2-Ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine
cpd:C16660	EMDP; 2-Ethyl-5-methyl-3,3-diphenyl-1-pyrroline
cpd:C16661	nor-LAAM; L-alpha-Acetyl-N-normethadol
cpd:C16662	dinor-LAAM; L-alpha-Acetyl-N,N-dinormethadol
cpd:C16663	Tryparedoxin
cpd:C16664	Tryparedoxin disulfide
cpd:C16665	12-Methyltetradecanoic acid
cpd:C16666	Vanillylamine
cpd:C16671	3,6-Dihydronicotinic acid
cpd:C16673	Isoglutamine; DL-Isoglutamine; 4,5-Diamino-5-oxopentanoic acid
cpd:C16674	Formylisoglutamine; DL-Formylisoglutamine
cpd:C16675	7-Aminomethyl-7-carbaguanine; 7-Aminomethyl-7-deazaguanine
cpd:C16677	all-trans-4-Hydroxyretinoic acid
cpd:C16678	all-trans-4-Oxoretinoic acid
cpd:C16679	all-trans-18-Hydroxyretinoic acid
cpd:C16680	all-trans-5,6-Epoxyretinoic acid; all-trans-5,6-Epoxy-5,6-dihydroretinoic acid
cpd:C16681	9-cis-Retinal
cpd:C16682	9-cis-Retinol
cpd:C16683	4-Oxoretinol
cpd:C16688	6-Phosphosucrose; Sucrose 6-phosphate; 6-O-Phosphonosucrose; beta-D-Fructofuranosyl-6-O-phosphono-alpha-D-glucopyranoside
cpd:C16692	Mannopine
cpd:C16696	Dolichotheline
cpd:C16697	1-Indolizidinone; 1-Ketooctahydroindolizine
cpd:C16698	MurNAc 6-phosphate; N-Acetylmuramate 6-phosphate; N-Acetylmuramic acid 6-phosphate
cpd:C16699	2-O-(6-Phospho-alpha-mannosyl)-D-glycerate; 2-O-(6-Phospho-alpha-D-mannosyl)-D-glycerate
cpd:C16700	Protocatechualdehyde; 3,4-Dihydroxybenzaldehyde
cpd:C16701	Norbelladine
cpd:C16702	4'-O-Methylnorbelladine
cpd:C16703	N-Demethylnarwedine
cpd:C16704	Anhalonidine
cpd:C16705	Anhalonine; O-Methylanhalonidine
cpd:C16706	3-(p-Hydroxyphenyl)propanal; 4-Hydroxydihydrocinnamaldehyde
cpd:C16707	Autumnaline; (S)-Autumnaline
cpd:C16708	Isoandrocymbine
cpd:C16709	O-Methylandrocymbine
cpd:C16710	N-Formyldemecolcine
cpd:C16712	Deacetylcolchicine; Trimethylcolchicinic acid methyl ether
cpd:C16713	Floramultine
cpd:C16714	Kreysigine
cpd:C16716	4-Hydroxy-2-quinolone; 2,4-Dihydroxyquinoline; 4-Hydroxy-2(1H)-quinolone
cpd:C16719	(-)-Norephedrine; l-Phenylpropanolamine
cpd:C16721	Platydesmine
cpd:C16723	Pumiloside
cpd:C16724	Strictosamide
cpd:C16725	Deoxypumiloside
cpd:C16726	Cinchoninone; Cinchonan-9-one
cpd:C16727	Cinchonamine
cpd:C16728	Quinidinone
cpd:C16735	Corynantheal
cpd:C16737	5-Deoxy-D-glucuronate; 5-Deoxy glucuronic acid; 5-Deoxy-D-xylo-hexuronic acid
cpd:C16741	L-Hydroxylysine; 5-Hydroxy-L-lysine; (5R)-5-Hydroxy-L-lysine; L-erythro-5-Hydroxylysine
cpd:C16753	Aflatoxin B2
cpd:C16754	Aflatoxin G2
cpd:C16755	Aflatoxin G1
cpd:C16756	Aflatoxin M1
cpd:C16790	Coronatine
cpd:C16814	gamma-Bisabolene; (Z)-gamma-Bisabolene
cpd:C16826	(2Z,6E)-Farnesyl diphosphate; 2-cis,6-trans-Farnesyl diphosphate
cpd:C16829	gamma-Humulene
cpd:C16844	Hydrogen oxide; Hydroxyl radical
cpd:C16845	Peroxynitrite
cpd:C16848	6-Deoxy-5-ketofructose 1-phosphate; 1-Deoxy-D-threo-hexo-2,5-diulose 6-phosphate
cpd:C16850	2-Amino-3,7-dideoxy-D-threo-hept-6-ulosonic acid
cpd:C16911	Afzelin; Kaempferin; Kaempferol 3-O-alpha-L-rhamnoside
cpd:C16930	Chavicol
cpd:C16933	3,6-Dihydropyridine
cpd:C16999	Futalosine
cpd:C17010	Dehypoxanthine futalosine; de-Hypoxanthine futalosine
cpd:C17017	Cyclic dehypoxanthine futalosine
cpd:C17018	1,4-Dihydroxy-6-naphthoate
cpd:C17022	O-Phosphoseryl-tRNA(Cys)
cpd:C17027	L-Pyrrolysyl-tRNA(Pyl)
cpd:C17203	N-Hydroxyl-tryptamine
cpd:C17209	2-Deoxyinosose; 2-Deoxy-scyllo-inosose; 2-Deoxy-L-scyllo-inosose
cpd:C17210	2-(2'-Methylthio)ethylmalate; 2-(2'-Methylthio)ethylmalic acid
cpd:C17211	2-Oxo-5-methylthiopentanoic acid; 5-(Methylthio)-2-oxo-pentanoic acid
cpd:C17212	3-(2'-Methylthio)ethylmalate; 3-(2'-Methylthio)ethylmalic acid
cpd:C17213	Homomethionine
cpd:C17214	2-(3'-Methylthio)propylmalate; 2-(3'-Methylthio)propylmalic acid
cpd:C17215	3-(3'-Methylthio)propylmalate; 3-(3'-Methylthio)propylmalic acid
cpd:C17216	2-Oxo-6-methylthiohexanoic acid; 6-(Methylthio)-2-oxo-hexanoic acid
cpd:C17217	Dihomomethionine
cpd:C17218	2-(4'-Methylthio)butylmalate; 2-(4'-Methylthio)butylmalic acid
cpd:C17219	3-(4'-Methylthio)butylmalate; 3-(4'-Methylthio)butylmalic acid
cpd:C17220	2-Oxo-7-methylthioheptanoic acid; 7-(Methylthio)-2-oxo-heptanoic acid
cpd:C17221	Trihomomethionine; 2-Amino-7-(methylsulfanyl)heptanoic acid
cpd:C17222	2-(5'-Methylthio)pentylmalate; 2-(5'-Methylthio)pentylmalic acid
cpd:C17223	3-(5'-Methylthio)pentylmalate; 3-(5'-Methylthio)pentylmalic acid
cpd:C17224	8-Methylthio-2-octanoic acid; 2-Oxo-8-methylthiooctanoic acid
cpd:C17225	Tetrahomomethionine
cpd:C17226	2-(6'-Methylthio)hexylmalate; 2-(6'-Methylthio)hexylmalic acid
cpd:C17227	3-(6'-Methylthio)hexylmalate; 3-(6'-Methylthio)hexylmalic acid
cpd:C17228	9-Methylthio-2-nonanoic acid; 2-Oxo-9-methylthiononanoic acid
cpd:C17229	Pentahomomethionine
cpd:C17230	2-(7'-Methylthio)heptylmalate; 2-(7'-Methylthio)heptylmalic acid
cpd:C17231	3-(7'-Methylthio)heptylmalate; 3-(7'-Methylthio)heptylmalic acid
cpd:C17232	10-Methylthio-2-decanoic acid; 2-Oxo-10-methylthiodecanoic acid
cpd:C17233	Hexahomomethionine
cpd:C17235	L-Homophenylalanine
cpd:C17236	3-Phenylpropionaldoxim
cpd:C17237	S-(Phenylacetothiohydroximoyl)-L-cysteine
cpd:C17238	S-(Hydroxyphenylacetothiohydroximoyl)-L-cysteine
cpd:C17239	p-Hydroxyphenylacetothiohydroximate
cpd:C17240	p-Hydroxybenzyldesulphoglucosinolate; Desulfo-p-hydroxybenzylglucosinolate
cpd:C17241	4-Methylthiobutanaldoxime
cpd:C17242	S-(4-Methylthiobutylthiohydroximoyl)-L-cysteine
cpd:C17243	4-Methylthiobutylthiohydroximate
cpd:C17244	3-Methylthiopropyl-desulfoglucosinolate
cpd:C17245	5-Methylthiopentanaldoxime
cpd:C17246	6-Methylthiohexanaldoxime
cpd:C17248	4-Methylthiobutyl-desulfoglucosinolate
cpd:C17249	7-Methylthioheptanaldoxime; 7-(Methylsulfanyl)heptanal oxime
cpd:C17250	Glucolesquerellin; 6-Methylthiohexyl glucosinolate
cpd:C17251	8-Methylthiooctanaldoxime
cpd:C17252	7-Methylthioheptyl glucosinolate
cpd:C17253	9-Methylthiononanaldoxime
cpd:C17254	8-Methylthiooctyl glucosinolate
cpd:C17255	3-Methylbutyraldehyde oxime
cpd:C17256	Isobutyl glucosinolate; 2-Methylpropyl glucosinolate
cpd:C17268	Pyruvophenone; 1-Phenyl-1,2-propanedione
cpd:C17277	(+)-Valencene
cpd:C17302	AL-294; Ethyl 2-chloro-3-(4-(2-methyl-2-phenylpropoxy)phenyl)propanoate
cpd:C17303	AL-321; 5-(4-(2-Methyl-2-phenylpropoxy)benzyl)thiazolidine-2,4-dione
cpd:C17322	tRNA containing s2U; tRNA containing 2-thiouridine
cpd:C17326	CDP-4-dehydro-3,6-dideoxy-D-glucose epimer
cpd:C17327	CDP-ascarylose
cpd:C17328	UDP-4-keto-rhamnose
cpd:C17331	7alpha,24-Dihydroxy-4-cholesten-3-one
cpd:C17332	7alpha,25-Dihydroxy-4-cholesten-3-one
cpd:C17333	3beta-Hydroxy-5-cholestenoate; 3beta-Hydroxycholest-5-en-27-oic acid
cpd:C17335	3beta,7alpha-Dihydroxy-5-cholestenoate; 3beta,7alpha-Dihydroxy-5-cholesten-26-oic acid
cpd:C17336	7alpha,26-Dihydroxy-4-cholesten-3-one
cpd:C17337	7alpha-Hydroxy-3-oxo-4-cholestenoate
cpd:C17339	4-Cholesten-7alpha,12alpha-diol-3-one; 7alpha,12alpha-Dihydroxy-4-cholesten-3-one
cpd:C17343	(25S)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA
cpd:C17345	(25R)-3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA
cpd:C17346	(25S)-3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA
cpd:C17401	Cobalt-factor III
cpd:C17412	Shikonin
cpd:C17432	all-trans-Decaprenyl diphosphate
cpd:C17530	Devoton; Tereton; Methyl acetate
cpd:C17541	Und-PP-MurNAc-(GlcNAc)-L-Ala-D-isoglutaminyl-L-Lys-(Gly)-D-Ala-D-Ala; Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)-D-alanyl-D-alanine
cpd:C17542	Und-PP-MurNAc-(GlcNAc)-L-Ala-D-isoglutaminyl-L-Lys-(Gly)3-D-Ala-D-Ala; Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)3-D-alanyl-D-alanine
cpd:C17549	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-(L-alanyl-L-alanyl)-D-alanyl-D-alanine
cpd:C17550	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-(L-alanyl)-D-alanyl-D-alanine
cpd:C17551	3-Polyprenylcatechol; 2-Polyprenyl-6-hydroxyphenol
cpd:C17552	2-Polyprenyl-6-methoxyphenol
cpd:C17554	3-Polyprenyl-4,5-dihydroxybenzoate; 3,4-Dihydroxy-5-polyprenylbenzoate
cpd:C17556	Undecaprenyl phosphate; ditrans,octacis-Undecaprenyl phosphate; di-trans,poly-cis-Undecaprenyl phosphate
cpd:C17558	Undecaprenol; di-trans,poly-cis-Undecaprenol
cpd:C17559	3-Polyprenyl-4-hydroxy-5-methoxybenzoate
cpd:C17560	2-Polyprenyl-6-methoxy-1,4-benzoquinone
cpd:C17561	2-Polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone
cpd:C17562	2-Polyprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone
cpd:C17568	Coenzyme Q6; Ubiquinone-6
cpd:C17569	Coenzyme Q8; Ubiquinone-8
cpd:C17570	MSBQ; 2-Methyl-6-solanyl-1,4-benzoquinol; 2-Methyl-6-solanesylbenzene-1,4-diol; 2-Methyl-6-nonaprenyl-benzene-1,4-diol; 2-Methyl-6-all-trans-nonaprenylbenzene-1,4-diol
cpd:C17580	2-Deoxy-scyllo-inosamine
cpd:C17581	2-Deoxy-3-keto-scyllo-inosamine; 3-Amino-2,3-dideoxy-scyllo-inosose
cpd:C17582	2'-N-Acetylparomamine
cpd:C17583	6'-Oxoparomamine; 6'-Dehydroparomamine; 6'-Dehydro-6'-oxoparomamine
cpd:C17585	Butirosin A
cpd:C17586	Butirosin B
cpd:C17587	2'''-N-Acetyl-6'''-deamino-6'''-hydroxyneomycin C
cpd:C17588	6'''-Hydroxyneomycin C; 6'''-Deamino-6'''-hydroxyneomycin C
cpd:C17589	6'''-Oxoneomycin C; 6'''-Deamino-6'''-oxoneomycin C; 6'''-Deamino-6'''-dehydro-6'''-oxoneomycin C
cpd:C17591	(S)-Corytuberine
cpd:C17592	Laudanine
cpd:C17621	8-Hydroxygeraniol; 10-Hydroxygeraniol; (6E)-8-Hydroxygeraniol
cpd:C17622	8-Oxogeranial; 10-Oxogeranial; (6E)-8-Oxogeranial
cpd:C17644	Ursocholate; Ursocholic acid; 7-Epicholic acid; 7beta-Hydroxyisocholic acid; 3alpha,7beta,12alpha-Trihydroxy-5beta-cholanic acid; 3alpha,7beta,12alpha-Trihydroxy-5beta-cholan-24-oic acid
cpd:C17646	12-Epideoxycholate; 12-Epideoxycholic acid
cpd:C17647	alpha-Muricholate; alpha-Muricholic acid; 5beta-Cholanic acid-3alpha,6beta,7alpha-triol; 3alpha,6beta,7alpha-Trihydroxy-5beta-cholan-24-oic acid
cpd:C17649	Hyocholate; Iocholic acid; Hyocholic acid; gamma-Muricholate; alpha-Hyocholic acid; 6alpha-Hydroxychenodeoxycholic acid; 3alpha,6alpha,7alpha-Trihydroxy-5beta-cholan-24-oic acid
cpd:C17650	Vulpecholate; Vulpecholic acid; 1alpha,3alpha,7alpha-Trihydroxy-5beta-cholan-24-oic acid
cpd:C17651	alpha-Phocaecholic acid; 3alpha,7alpha,12alpha,23R-Tetrahydroxycholanic acid
cpd:C17654	beta-Phocaecholate; beta-Phocaecholic acid; (23R)-Hydroxychenodeoxycholate
cpd:C17657	Bitocholate; Bitocholic acid
cpd:C17658	Isolithocholate; Isolithocholic acid; beta-Lithocholic acid; 3-Epilithocholic acid; beta-Lithocholanic acid; 3beta-Hydroxy-5beta-cholan-24-oic acid; 3beta-Hydroxy-5beta-cholan-24-oic acid
cpd:C17660	Isochenodeoxycholate; Isochenodeoxycholic acid; 3beta,7alpha-Dihydroxy-5beta-cholanic acid
cpd:C17661	Isodeoxycholate; Isodeoxycholic acid; 7alpha,12alpha-Dihydroxycholanoic acid; 7alpha,12alpha-Dihydroxy-5beta-cholanic acid
cpd:C17662	Isoursodeoxycholate; Isoursodeoxycholic acid; 3beta,7beta-Dihydroxy-5beta-cholanoic acid; 3beta,7beta-Dihydroxy-5beta-cholan-24-oic acid
cpd:C17664	Allochenodeoxycholate; Allochenodeoxycholic acid; 3alpha,7alpha-Dihydroxy-5alpha-cholanoic acid
cpd:C17667	Avicholate; Avicholic acid
cpd:C17668	Haemulcholate; Hemulcholic acid; 3alpha,7alpha,22-Trihydroxy-5beta-cholan-24-oic acid
cpd:C17687	Allodeoxycholate; 5alpha-Deoxycholic acid; 3alpha,12alpha-Dihydroxy-5alpha-cholanoic acid
cpd:C17689	Ursodeoxycholoyl-CoA; 3alpha,7beta-Dihydroxy-5beta-cholanoyl-CoA
cpd:C17726	beta-Muricholate; beta-Muricholic acid; 5beta-Cholanic acid-3alpha,6beta,7beta-triol; 3alpha,6beta,7beta-Trihydroxy-5beta-cholan-24-oic acid
cpd:C17727	omega-Muricholate; omega-Muricholic acid
cpd:C17733	7-Oxateasterone; (22R,23R,24S)-3beta,22,23-Trihydroxy-7-oxa-5alpha-ergostane-6-one
cpd:C17735	7-Oxatyphasterol; (22R,23R,24S)-3alpha,22,23-Trihydroxy-7-oxa-5alpha-ergostane-6-one
cpd:C17737	Allocholate; Allocholic acid; 3alpha,7alpha,12alpha-Trihydroxy-5alpha-cholanoic acid
cpd:C17740	(4-Coumaroyl)acetyl-CoA; p-Coumaroyl-diketide-CoA
cpd:C17741	Feruloylacetyl-CoA; Feruloyl-diketide-CoA
cpd:C17742	Demethoxycurcumin
cpd:C17743	Bisdemethoxycurcumin
cpd:C17744	1-(4-Hydroxyphenyl)-1-decene-3,5-dione
cpd:C17745	1-(3,4-Dihydroxyphenyl)-1-decene-3,5-dione
cpd:C17746	1-Dehydro-[6]-gingerdione
cpd:C17747	5-Hydroxy-1-(4-hydroxyphenyl)-3-decanone
cpd:C17748	1-(3,4-Dihydroxyphenyl)-5-hydroxy-3-decanone
cpd:C17749	Curcumin monoglucoside
cpd:C17750	Curcumin diglucoside
cpd:C17751	cyclo-Dopa 5-O-glucoside
cpd:C17752	cyclo-Dopa-glucuronylglucoside
cpd:C17753	Dopaxanthin quinone
cpd:C17754	3-Methoxytyramine-betaxanthin
cpd:C17755	Dopamine quinone
cpd:C17756	5,6-Indolinediol; Indoline-5,6-diol; 2-Descarboxy-cyclo-dopa
cpd:C17757	2-Descarboxy-betanidin
cpd:C17758	4,5-seco-Dopa
cpd:C17929	4-Methylhistamine
cpd:C17930	Dimaprit
cpd:C17931	Imetit
cpd:C17932	Immepip
cpd:C17933	Thioperamide
cpd:C17934	Clobenpropit
cpd:C17935	Cysteinyldopa; 5-S-Cysteinyl-DOPA
cpd:C17936	Phaeomelanin
cpd:C17937	Eumelanin
cpd:C17938	5,6-Indolequinone-2-carboxylic acid
cpd:C17940	Rhizocticin B
cpd:C17941	2-Oxo-4-phosphonobutanoate; 2-Oxo-4-phosphonobutanoic acid
cpd:C17942	FR 900098; (3-(Acetylhydroxyamino)propyl)phosphonic acid
cpd:C17943	Formylphosphonate; Phosphonoformaldehyde; Formylphosphonic acid
cpd:C17944	Rhizocticin A
cpd:C17945	Phosphonoformyl-CMP
cpd:C17946	Carboxyphosphonopyruvate
cpd:C17947	2-Phosphinomethylmalate; 2-Phosphinomethylmalic acid
cpd:C17948	4-(Hydroxyphosphinyl)-2-oxobutyric acid; Deamino-alpha-keto-demethylphosphinothricin
cpd:C17949	N-Adpt; N-Acetyldemethylphosphinothricin
cpd:C17950	N-Acetyldemethylphosphinothricin tripeptide
cpd:C17951	N-Acetylbialaphos; N-Acetylphosphinothricin tripeptide
cpd:C17952	N-Acetylphinothricin; N-Acetyl-L-Glufosinate; N-Acetylphosphinothricin; L-N-Acetylphosphinothricin
cpd:C17953	(5S)-Albaflavenol
cpd:C17954	Albaflavenone
cpd:C17955	(5R)-Albaflavenol
cpd:C17960	Rhizocticin C
cpd:C17961	Rhizocticin D
cpd:C17962	Demethylphosphinothricin; (2S)-2-Amino-4-(hydroxyphosphinyl)butanoic acid
cpd:C18004	5''-Phosphoribostamycin
cpd:C18005	gamma-L-Glutamyl-butirosin B
cpd:C18006	gamma-L-Glutamyl-ACP; gamma-L-Glutamyl-[acp]; gamma-L-Glutamyl-[acyl carrier protein]
cpd:C18007	GABA-ACP; 4-Aminobutyryl-[acp]; 4-Aminobutyryl-[acyl carrier protein]
cpd:C18008	gamma-L-Glutamyl-4-aminobutyryl-ACP; gamma-L-Glutamyl-4-aminobutyryl-[acp]; 4-(gamma-L-Glutamylamino)butanoyl-[acp]; gamma-L-Glutamyl-4-aminobutyryl-[acyl carrier protein]
cpd:C18009	gamma-L-Glutamyl-4-amino-2-hydroxybutyryl-ACP; gamma-L-Glutamyl-4-amino-2-hydroxybutyryl-[acp]; 4-(gamma-L-Glutamylamino)-(2S)-2-hydroxybutanoyl-[acp]; gamma-L-Glutamyl-4-amino-2-hydroxybutyryl-[acyl carrier protein]
cpd:C18010	Deltorphin A; Dermenkephalin
cpd:C18015	Momilactone A
cpd:C18016	3beta-Hydroxy-9beta-pimara-7,15-diene-19,6beta-olide
cpd:C18021	Pheophorbide a
cpd:C18022	Red chlorophyll catabolite
cpd:C18025	(+)-Menthofuran; (R)-Menthofuran
cpd:C18026	Ethylmalonyl-CoA; (S)-Ethylmalonyl-CoA; (2S)-Ethylmalonyl-CoA; Ethylmalonyl coenzyme A
cpd:C18027	Mentholactone; (4R,7S)-7-Isopropyl-4-methyloxepan-2-one; (4R,7S)-4-Methyl-7-(1-methylethyl)-2-Oxepanone
cpd:C18028	L-Fucono-1,5-lactone
cpd:C18029	dTDP-3-oxo-2,6-dideoxy-D-glucose; dTDP-(2,6-dideoxy-alpha-D-erythro-hexopyranos-3-ulos-1-yl) ester
cpd:C18030	dTDP-2,6-dideoxy-D-kanosamine; dTDP-(3-amino-2,3,6-trideoxy-alpha-D-arabino-hexopyranosyl) ester
cpd:C18031	dTDP-D-angolosamine
cpd:C18032	dTDP-4-oxo-2,3,6-trideoxy-D-glucose; dTDP-[(2R,6R)-tetrahydro-6-methyl-5-oxo-2H-pyran-2-yl] ester
cpd:C18033	dTDP-4-amino-2,3,4,6-tetradeoxy-D-glucose; dTDP-[(2R,5S,6R)-5-aminotetrahydro-6-methyl-2H-pyran-2-yl] ester
cpd:C18034	dTDP-D-forosamine; dTDP-[(2R,5S,6R)-5-(dimethylamino)tetrahydro-6-methyl-2H-pyran-2-yl] ester
cpd:C18036	Strigolactone ABC-rings
cpd:C18037	5-Deoxystrigol
cpd:C18038	7alpha-Hydroxypregnenolone; 3beta,7alpha-Dihydroxy-5-pregnen-20-one
cpd:C18039	Aldosterone hemiacetal; 11beta,18-Epoxy-18,21-dihydroxypregn-4-ene-3,20-dione
cpd:C18040	Allopregnane-21-ol-3,20-dione; 5alpha-Pregnan-21-ol-3,20-dione; 5alpha-Dihydrodeoxycorticosterone
cpd:C18041	Allopregnan-20alpha-ol-3-one; 5alpha-Pregnan-20alpha-ol-3-one
cpd:C18042	Allopregnane-3alpha,20alpha-diol; 5alpha-Pregnane-3alpha,20alpha-diol
cpd:C18043	Cholesterol sulfate; Cholest-5-en-3beta-ol sulfate
cpd:C18044	Pregnenolone sulfate; 3beta-Hydroxypregn-5-en-20-one sulfate
cpd:C18045	7alpha-OH-DHEA; 7alpha-Hydroxydehydroepiandrosterone; 3beta,7alpha-Dihydroxy-5-androstene-17-one
cpd:C18048	N-Succinyl-L-citrulline
cpd:C18059	CDP-2,3-bis-O-(geranylgeranyl)-sn-glycerol
cpd:C18062	TRIBOA-glucoside; 2,4,7-Trihydroxy-1,4-benzoxazin-3-one-glucoside; 2,4,7-Trihydroxy-2H-1,4-benzoxazin-3(4H)-one-glucoside
cpd:C18064	Pyropheophorbide a
cpd:C18069	N1,N5,N10-Tricoumaroyl spermidine
cpd:C18070	N1,N5,N10-Tricaffeoyl spermidine
cpd:C18071	N1,N5,N10-Triferuloyl spermidine
cpd:C18072	N1,N5,N10-Tri-(hydroxyferuloyl)-spermidine
cpd:C18073	N1,N5-Tri-di(hydroxyferuloyl)-N10-sinapoyl-spermidine
cpd:C18075	11beta-Hydroxytestosterone; 11beta,17beta-Dihydroxy-4-androsten-3-one
cpd:C18080	Osthenol
cpd:C18083	Demethylsuberosin; 7-Demethylsuberosin
cpd:C18092	dTDP-L-ristosamine; dTDP-3-amino-2,3,6-trideoxy-L-allose; dTDP-3-amino-2,3,6-trideoxy-L-ribo-hexose
cpd:C18095	Deltorphin B; Deltorphin II
cpd:C18096	D-Allulose 6-phosphate
cpd:C18097	Deltorphin C; Deltorphin I
cpd:C18098	Primary fluorescent chlorophyll catabolite
cpd:C18099	PCDD 54; 1,2,3,7,8-PeCDD; 1,2,3,7,8-Pentachlorodibenzodioxin; 1,2,3,7,8-Pentachlorodibenzo-p-dioxin
cpd:C18100	PCDD 66; 1,2,3,4,7,8-HxCDD; 1,2,3,4,7,8-Hexachlorodibenzodioxin; 1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin
cpd:C18101	PCDD 67; 1,2,3,6,7,8-HxCDD; 1,2,3,6,7,8-Hexachlorodibenzodioxin; 1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin
cpd:C18102	PCDD 70; 1,2,3,7,8,9-HxCDD; 1,2,3,7,8,9-Hexachlorodibenzodioxin; 1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin
cpd:C18103	PCDD 73; 1,2,3,4,6,7,8-HpCDD; 1,2,3,4,6,7,8-Heptachlorodibenzodioxin; 1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin
cpd:C18104	PCDF 83; 2,3,7,8-TCDF; 2,3,7,8-Tetrachlorodibenzofuran
cpd:C18105	PCDF 94; 1,2,3,7,8-PeCDF; 1,2,3,7,8-Pentachlorodibenzofuran
cpd:C18106	PCDF 114; 2,3,4,7,8-PeCDF; 2,3,4,7,8-Pentachlorodibenzofuran
cpd:C18107	PCDF 118; 1,2,3,4,7,8-HxCDF; 1,2,3,4,7,8-Hexachlorodibenzofuran
cpd:C18108	PCDF 124; 1,2,3,7,8,9-HxCDF; 1,2,3,7,8,9-Hexachlorodibenzofuran
cpd:C18109	PCDF 121; 1,2,3,6,7,8-HxCDF; 1,2,3,6,7,8-Hexachlorodibenzofuran
cpd:C18110	PCDF 130; 2,3,4,6,7,8-HxCDF; 2,3,4,6,7,8-Hexachlorodibenzofuran
cpd:C18111	PCDF 131; 1,2,3,4,6,7,8-HpCDF; 1,2,3,4,6,7,8-Heptachlorodibenzofuran
cpd:C18112	PCDF 134; 1,2,3,4,7,8,9-HpCDF; 1,2,3,4,7,8,9-Heptachlorodibenzofuran
cpd:C18113	OCDF; PCDF 135; Octachlorodibenzofuran; 1,2,3,4,6,7,8,9-Octachlorodibenzofuran
cpd:C18114	PCB 81; 3,4,4',5-Tetrachlorobiphenyl
cpd:C18115	PCB 169; 3,4,5,3',4',5'-Hexachlorobiphenyl
cpd:C18116	PCB 105; 2,3,4,3',4'-Pentachlorobiphenyl
cpd:C18117	PCB 114; 2,3,4,4',5-Pentachlorobiphenyl
cpd:C18118	PCB 118; 2,3',4,4',5-Pentachlorobiphenyl
cpd:C18119	PCB 123; 2,3',4,4',5'-Pentachlorobiphenyl
cpd:C18120	PCB 156; 2,3,3',4,4',5-Hexachlorobiphenyl
cpd:C18121	PCB 157; 2,3,3',4,4',5'-Hexachlorobiphenyl
cpd:C18122	PCB 167; 2,3',4,4',5,5'-Hexachlorobiphenyl
cpd:C18123	PCB 189; 2,3,3',4,4',5,5'-Heptachlorobiphenyl
cpd:C18125	1-Acyl-sn-glycero-3-phosphoserine
cpd:C18126	1-Acyl-sn-glycero-3-phosphoglycerol
cpd:C18128	NTI; Naltrindole
cpd:C18129	MLCL; Monolysocardiolipin
cpd:C18131	Geranyl-hydroxybenzoate
cpd:C18132	3''-Hydroxy-geranylhydroquinone
cpd:C18133	Deoxyshikonin
cpd:C18134	Dihydroechinofuran
cpd:C18135	Dihydroshikonofuran
cpd:C18151	7(1)-Hydroxychlorophyll a; 7-Hydroxymethylchlorophyll a
cpd:C18152	3-Vinylbacteriochlorophyllide a; 3-Deacetyl-3-vinylbacteriochlorophyllide a
cpd:C18153	3-Hydroxyethylbacteriochlorophyllide a
cpd:C18154	3-Hydroxyethylchlorophyllide a
cpd:C18155	Bacteriochlorophyllide a
cpd:C18156	Bacteriochlorophyllide b
cpd:C18157	3-Vinylbacteriochlorophyllide d
cpd:C18158	17-Oxosparteine
